Name,Word Count,Unique Count, Difficulty Score,Words Learnt with only this book, Words learnt if read twice
Nehemiae.txt, 7379, 2337, 3298.8074016744204, 77, 206
Malachias.txt, 1220, 585, 3306.7947302267457, 10, 28
Exodus.txt, 20209, 5001, 2635.1211320360385, 249, 551
Genesis.txt, 25455, 6105, 2717.4098877959245, 329, 667
Lucas.txt, 18084, 4715, 3198.1558275834805, 199, 448
2 Thessalonicenses.txt, 751, 388, 3834.6296498364572, 6, 22
Nahum.txt, 853, 512, 5710.344906266675, 6, 17
Judith.txt, 6643, 2427, 3559.664019296459, 80, 172
Deuternomium.txt, 18561, 4690, 2659.8035501516592, 221, 438
1 Paralipomenon.txt, 14401, 3962, 3524.850143421293, 161, 380
Judae.txt, 442, 302, 5875.355013534658, 2, 6
Jacobus.txt, 1650, 866, 5735.261975506189, 10, 36
Romanos.txt, 6609, 2106, 3873.476061982118, 76, 188
Isaiae.txt, 24658, 6546, 3870.405738007008, 245, 521
Jeremiae.txt, 29585, 5788, 2518.0174207759537, 348, 641
Esther.txt, 5978, 2354, 4336.6037832899, 59, 151
Josue.txt, 12253, 3328, 2902.992508354771, 156, 339
Hebraei.txt, 4599, 1954, 5645.062762532342, 36, 117
2 Regum.txt, 14724, 3814, 2640.8901314614986, 192, 389
Canticum Canticorum.txt, 1844, 874, 5692.182263570777, 18, 49
Marcus.txt, 10312, 3100, 3232.2400323527086, 114, 265
Leviticus.txt, 13810, 3388, 2862.6899448325307, 185, 417
Ecclesiastes.txt, 3824, 1571, 4279.831053951553, 35, 110
Baruch.txt, 3642, 1445, 3675.596523976963, 39, 99
1 Timotheus.txt, 1591, 850, 6282.102700326073, 11, 29
Amos.txt, 2801, 1119, 3989.580086725832, 22, 80
2 Machabaeorum.txt, 10498, 4152, 6846.671473693301, 90, 254
Numeri.txt, 19410, 4617, 2616.1910493009395, 276, 582
4 Regum.txt, 16061, 3672, 2164.9671601359355, 212, 461
1 Regum.txt, 18397, 4265, 2394.492190056729, 233, 450
1 Johannes.txt, 1886, 500, 1845.5652939439467, 29, 68
1 Petrus.txt, 1661, 875, 5940.752039203015, 12, 36
Michaeas.txt, 2077, 987, 3806.116933610181, 21, 44
3 Regum.txt, 17323, 4032, 2274.2226324871112, 233, 500
3 Johannes.txt, 211, 154, 5869.194418285767, 0, 2
Proverbia.txt, 10197, 3678, 5052.00780873239, 107, 262
Galatas.txt, 2130, 937, 4375.615368561319, 22, 60
Esdrae.txt, 5134, 1711, 3141.5957266750033, 55, 137
Zacharias.txt, 4375, 1443, 2725.7136187326983, 51, 105
Joel.txt, 1358, 656, 3625.933231650166, 9, 29
Abdias.txt, 428, 248, 3585.1437239469597, 2, 10
Osee.txt, 3510, 1408, 3648.4479696986846, 37, 82
Philippenses.txt, 1558, 725, 4823.2037104701285, 16, 46
1 Thessalonicenses.txt, 1404, 594, 3387.386536790234, 17, 42
Ruth.txt, 1792, 870, 3785.692150785616, 12, 44
Actus Apostolorum.txt, 16784, 4809, 4623.817430773745, 183, 438
2 Paralipomenon.txt, 18021, 4534, 2595.2300619749776, 231, 472
Tobiae.txt, 5040, 1961, 3602.04748687061, 58, 145
Ecclesiasticus.txt, 20753, 5958, 4663.368295878641, 215, 475
2 Timotheus.txt, 1170, 670, 6836.90088209698, 13, 26
1 Machabaeorum.txt, 16615, 3713, 2996.0627881999485, 197, 458
Ephesios.txt, 2150, 928, 3593.955321693008, 25, 50
Titus.txt, 663, 403, 6692.9214090659325, 4, 15
Job.txt, 12568, 4433, 4657.923953323784, 126, 276
Johannes.txt, 14097, 2810, 2320.682554282114, 184, 392
Lamentationes.txt, 2434, 1150, 4538.215371135036, 21, 71
Philemon.txt, 322, 195, 3609.706923061039, 2, 8
1 Corinthos.txt, 6447, 2090, 4199.119105689837, 76, 180
Matthaeus.txt, 16543, 4226, 2784.340597288487, 185, 451
Sapientia.txt, 7284, 2961, 5762.576243447794, 59, 168
Aggaeus.txt, 797, 361, 2468.9290084013637, 10, 17
Daniel.txt, 10812, 3148, 3193.4430106237637, 127, 299
Sophonias.txt, 1066, 550, 3286.774149396583, 9, 23
2 Corinthos.txt, 4299, 1534, 4823.536844168431, 49, 106
Judicium.txt, 12699, 3819, 3152.1001938737413, 162, 360
2 Johannes.txt, 218, 152, 2956.6215744118263, 1, 3
Psalmi.txt, 30335, 6306, 3075.802809597154, 326, 696
Colossenses.txt, 1464, 692, 4346.543103635613, 16, 31
Ezechiel.txt, 26906, 5244, 2782.5455351449004, 319, 632
Apocalypsis.txt, 8484, 2218, 2763.7804936909415, 102, 285
Jonas.txt, 967, 439, 2683.5956442747615, 9, 23
2 Petrus.txt, 1053, 627, 6684.423418408185, 6, 22
Habacuc.txt, 1003, 586, 4815.50958784657, 6, 17
